title,url,abstract,published,source,entities
"Infinix Zero 30 5G with 50MP selfie camera launched at Rs 21,999 - Times of India",https://timesofindia.indiatimes.com/gadgets-news/infinix-zero-30-5g-with-50mp-selfie-camera-launched-at-rs-21999/articleshow/103314820.cms,"Chinese smartphone maker Infinix has launched the Zero 30 5G smartphone, which offers improved camera quality and performance. It features a 50MP fron",2023-09-02T18:01:00.000000,"Source(id='the-times-of-india', name='The Times of India', channel=<Channel.NEWSORG: 'NEWSORG'>)","30 5:CARDINAL, Chinese:NORP, Infinix:PERSON"
Russian Ambassador's Invite To Nobel Prize Ceremony Cancelled After Criticism - NDTV,https://www.ndtv.com/world-news/russian-ambassadors-invite-to-nobel-prize-ceremony-cancelled-after-criticism-4352086,"The Nobel Foundation said Saturday it was reversing its decision to invite ambassadors from Russia and Belarus to this year's Nobel award ceremony in Stockholm, after the move sparked anger.",2023-09-02T17:49:00.000000,"Source(id=None, name='NDTV News', channel=<Channel.NEWSORG: 'NEWSORG'>)","Russian:NORP, Invite:GPE, To Nobel Prize Ceremony Cancelled After Criticism - NDTV:WORK_OF_ART, The Nobel Foundation:ORG, Saturday:DATE, Russia:GPE, Belarus:GPE, year:DATE, Nobel:WORK_OF_ART, Stockholm:GPE"
Alarm bells as vector-borne illnesses on the rise in Pune - Hindustan Times,https://www.hindustantimes.com/cities/pune-news/rain-and-humidity-fuel-increase-in-vector-borne-diseases-in-pune-maharashtra-101693676891871.html,"Heavy rain and high humidity in Pune, India, have created ideal conditions for the spread of vector-borne diseases. The city has reported 47 cases of dengue and seven cases of chikungunya in August, surpassing the total number of cases reported in the previou…",2023-09-02T17:48:11.000000,"Source(id=None, name='Hindustan Times', channel=<Channel.NEWSORG: 'NEWSORG'>)","Pune - Hindustan Times:ORG, Pune, India:GPE, 47:CARDINAL, seven:CARDINAL, August:DATE"
Intact 1881 'Trinidad' shipwreck found in Wisconsin waters by historians - The Washington Post - The Washington Post,https://www.washingtonpost.com/nation/2023/09/02/trinidad-schooner-shipwreck-maritime/,Maritime historians in Wisconsin have discovered the 156-year-old Trinidad schooner near Algoma. The grain-carrying vessel sank in Lake Michigan in 1881.,2023-09-02T17:14:00.000000,"Source(id='the-washington-post', name='The Washington Post', channel=<Channel.NEWSORG: 'NEWSORG'>)","1881:DATE, Trinidad:ORG, Wisconsin:GPE, The Washington Post - The Washington Post:ORG, Wisconsin:GPE, 156-year-old:DATE, Trinidad:ORG, Algoma:GPE, Lake Michigan:LOC, 1881:DATE"
"Writers Strike Hits Four-Month Mark as Resolve on Both Sides Hardens, Complicating the Return to Negotiations - Variety",https://variety.com/2023/biz/news/writers-strike-wga-four-months-amptp-1235711029/,"The writers strike reached the four-month mark on Saturday, and as Hot Labor Summer moves to autumn, there is still no sign that it will be over any time soon. The Writers Guild of America and the …",2023-09-02T17:14:00.000000,"Source(id=None, name='Variety', channel=<Channel.NEWSORG: 'NEWSORG'>)","Four-Month:DATE, Resolve:PERSON, Negotiations - Variety:ORG, four-month:DATE, Saturday:DATE, Hot Labor Summer:ORG, The Writers Guild of America:ORG"
New Covid Variant 'Pirola' Sparks Alarm In Many Countries. Here's All You Need To Know - NDTV,https://www.ndtv.com/science/new-covid-variant-pirola-sparks-alarm-in-many-countries-heres-all-you-need-to-know-4354390,"Amidst a resurgence of COVID-19 cases in the United States, United Kingdom and China, a new variant dubbed ""Pirola"" has experts worried.",2023-09-02T17:06:51.000000,"Source(id=None, name='NDTV News', channel=<Channel.NEWSORG: 'NEWSORG'>)","COVID-19:ORG, the United States:GPE, United Kingdom:GPE, China:GPE"
"Kareena Kapoor 'was asked to leave' Kaho Naa Pyaar Hai, claims Ameesha Patel - Hindustan Times",https://www.hindustantimes.com/entertainment/bollywood/kareena-kapoor-was-asked-to-leave-kaho-naa-pyaar-hai-claims-ameesha-patel-101693672092035.html,Ameesha Patel recalls what Rakesh Roshan told her about Kareena Kapoor not being a part of Kaho Naa Pyaar Hai. It was Ameesha's debut film with Hrithik Roshan. | Bollywood,2023-09-02T17:06:13.000000,"Source(id=None, name='Hindustan Times', channel=<Channel.NEWSORG: 'NEWSORG'>)","Kareena Kapoor ':PERSON, Ameesha Patel - Hindustan Times:PERSON, Ameesha Patel:PERSON, Rakesh Roshan:PERSON, Kareena Kapoor:PERSON, Kaho Naa Pyaar Hai:PERSON, Ameesha:GPE, Hrithik Roshan:PERSON, Bollywood:PERSON"
Rahul Gandhi asks Lalu Prasad Yadav 'What's The Difference Between Cooking And Politics?' - Times of India,https://timesofindia.indiatimes.com/videos/news/rahul-gandhi-asks-lalu-prasad-yadav-whats-the-difference-between-cooking-and-politics/videoshow/103314226.cms,"Congress leader Rahul Gandhi posted a video on his social media profiles featuring Lalu Prasad Yadav. The video depicted the two leaders cooking together while discussing politics. In the shared video, Gandhi learned how to prepare meat dishes from t",2023-09-02T16:54:03.000000,"Source(id='the-times-of-india', name='The Times of India', channel=<Channel.NEWSORG: 'NEWSORG'>)","Rahul Gandhi:PERSON, Lalu Prasad Yadav ':ORG, Congress:ORG, Rahul Gandhi:PERSON, Lalu Prasad Yadav:ORG, two:CARDINAL, Gandhi:PERSON"
Apple iPhone 15 Release Date: New Event Page Goes Live With Cool Animation - Forbes,https://www.forbes.com/sites/davidphelan/2023/09/02/apple-iphone-15-release-date-new-event-page-goes-live-with-cool-animation-iphone-15-pro-max/,"As we get closer to the iPhone 15 next special event, Apple launches a page with details of timing and how to watch.",2023-09-02T16:52:05.000000,"Source(id=None, name='Forbes', channel=<Channel.NEWSORG: 'NEWSORG'>)","Apple iPhone:ORG, 15:CARDINAL, Apple:ORG"
Asia Cup: Pakistan advance to Super 4s as rain washes out see-saw contest against India - IndiaTimes,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-pakistan-advance-to-super-4s-as-rain-washes-out-see-saw-contest-against-india/articleshow/103314180.cms,Cricket News: Rain played spoilsport in what could have turned out to be a cracking contest as India-Pakistan Asia Cup Group A game was called off in Pallekele on S,2023-09-02T16:50:00.000000,"Source(id='the-times-of-india', name='The Times of India', channel=<Channel.NEWSORG: 'NEWSORG'>)","Asia Cup:EVENT, Pakistan:GPE, Super 4s:ORG, India - IndiaTimes:ORG, India:GPE, Asia Cup Group:EVENT, Pallekele:GPE"
